!method	chdir
!cutoff	200
!direction	up
EOMES	0.0866544
CST1	0.0862622
MESP1	0.0750614
ZIC2	0.0706859
LEFTY2	0.0702552
SP5	0.0601661
SHISA3	0.0577454
CYP26A1	0.0572886
RIPPLY1	0.0558293
BCAR3	0.0534586
PKDCC	0.0521733
SHISA2	0.0512925
SAMD3	0.049875
RARRES2	0.0492417
OTX1	0.0488392
ASS1	0.0478506
CRABP1	0.0464618
LOX	0.0464063
COL13A1	0.0457924
DLK1	0.0455864
SERPINE2	0.0454997
C16orf92	0.0451791
ENO2	0.0448475
ZIC3	0.0447141
ADM	0.0446093
FOXI2	0.0444817
SNORA12	0.0443582
ACTN3	0.0441178
LINC01405	0.0440725
OLFML2A	0.044054
SNORD3A	0.0427609
DEFB1	0.0426561
LGALS1	0.0425104
IFITM1	0.0420583
MYOZ3	0.0419152
VWF	0.0407042
TFPI	0.0403911
MFAP4	0.039446
FZD2	0.038508
EBF3	0.0380736
RIPPLY3	0.0375364
NKX2-2	0.037399
TTYH1	0.0370445
RRAS	0.0370164
BST2	0.0369533
FAM65B	0.0363592
COL23A1	0.0362421
CLDN11	0.0361943
TUBB2A	0.0356616
SAT1	0.0348574
MT1X	0.0348057
SNORD3C	0.034652
SEMA5B	0.0345899
DMBX1	0.0336648
CBLN1	0.0336197
C15orf61	0.0325333
SNORD3D	0.032456
CCND1	0.0323821
LRIG3	0.0321162
KIF1A	0.0320787
TMEM54	0.0316984
PAPPA	0.0313865
IGSF21	0.0311744
TWIST1	0.0309872
SOX17	0.0307672
EVA1B	0.0304179
SLC18B1	0.0303358
HHEX	0.03024
WFDC2	0.0300799
OLFML3	0.0299987
SPARC	0.02967
SOX15	0.0295534
ANPEP	0.0295102
HAND1	0.0293505
CA11	0.0291269
TMEM101	0.0290142
ALPL	0.0288195
MOXD1	0.0287733
CXCR4	0.0286689
C17orf49	0.0285975
SOWAHC	0.0285927
EBF2	0.0285699
RAB17	0.0282143
PCDH10	0.0282092
MACROD1	0.0282034
KCNMB4	0.0281578
KCNK12	0.0281505
GJA1	0.0280953
C18orf54	0.0276612
PPP2R5A	0.0272311
FAM84B	0.0271971
SMIM24	0.0271682
GSTO2	0.0270293
SNAI2	0.0269842
RASL11B	0.0269809
EFNB1	0.0266663
EEF1A2	0.0265656
FAM46B	0.0265473
PCDHB5	0.0265404
CKB	0.0265397
